have	 (また《話》『have got』)〈物〉‘を'『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が'『いる』,‘を'持っている,〈召使など〉‘を'かかえている;〈動物〉‘を'飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を'『備えている』,‘が'ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を'持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を'経験する,〈病気〉‘に'かかる / …‘を'食べる,飲む,〈たばこ〉‘を'吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を'する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を'得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を'産む,もうける・《通例否定文で》…‘を'許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国
they	 『彼らが(は)』,彼女らが(は),それらが(は) / (一般に)『人々』,世間の人
with	 《随伴・協調》…『と』,と共に,といっしょに / 《所有・所持》…『を持っている』,がある,の付いた / 《道具・手段》…『で』,を使って / 《財料・供給物》…『で』,を与えて / …を支持して,に賛成して / …『に反対(敵対)して』,を相手として / …『と同時に』,と同様に / …『に比べて』,に比例して / 《様態》《名詞を伴い副詞句として》『…で』,を示して,をもって / 《付帯状競》…『して』,しながら / 《譲歩》…がありながら,にもかかわらず / 『…が原因で』,のために,…で / …に任せて,のもとにあずけて,のところに / …に関して,について / …から離れて / 《連結・混合》…と / 《副詞と共に命令文で》 
this	 《近くの人・物・事を指して》『これ』,この人,こちら / 《時間・場所を指して》『今』,現在,今日;『ここ』 / 《次に述べること・今述べたことを指して》『このこと』,これ,こういうこと / 《that と対照的に》 / (that の前者に対して)『後者』 / 『この』 / 『今の』現在の;最近の / 《that と対照的に》『この』,こっちの / 《程度・量を示す形容詞・副詞とともに》これだけ,こんなに,この程度まで 
from	 《場所》…『から』 / 《範囲》 / 《時》…『から』 / 《運動・行動などの起点》 / 《範囲》 / 《数量・価格》…『から』 / 《分離・隔たり》…『から』 / 《状態の変化》…『から』 / 《起源・出典・由来・出身》…『から』 / 《原因・理由・根拠》…『から』;…で,によって / 《原料》…『から』 / 《相違・区別》…『と』[『違って』] / 《除去・選択・解放・奮取》…『から』 / 《抑制・妨害》…[すること]『を』《+do『ing』》 / 《副詞・前置詞句・名詞節を伴って,方向》…『から』 
make	 …‘を'『作る』,製造する,建造する / …‘を'『整える』,用意する / …‘を'生じさせる,もたらす,引き起こす / 〈金など〉‘を'得る,もうける,〈財産など〉‘を'作る / 《行為・動作を表す名詞を目的語にして》…‘を'『する』,行う / (ある状態・形態に)…‘を'『する』 / 《『make』+『名』+do》〈人・動物など〉‘に'強制して(…)させる / …‘を'判断する,解釈する,思う / …‘を'構成する,(計算・合計が)…‘に'なる / …‘に'『なる』,‘と'なる,‘の'資格(素質)がある / 《話》〈ある距離〉‘を'行く,〈ある速さ〉‘で'進む / 〈目的地など〉‘に'到着する,着く / 〈会社・集会など〉‘に'間に合う;《話》〈乗物〉‘に'間に合う / 〈人・企画〉‘を'成功させる,‘の'成功(幸運,出世)を確実にする / 《話》…‘の'一員になる / (ある状態・形態に)なる,ふるまう / (…の方へ)進む,向かう《+『for』(『to, toward』)+『名』) / 《まれ》《副詞[句]の伴って》作られる,できる / 《まれ》《副詞を伴って》〈かさなどが〉増す,〈雪が〉積もる / 作り,型;製造;種類,銘柄 / 性格,気質;体つき 
when	 《疑問副詞》(句・節を導くこともある)『いつ』 / 《関係副詞》 / 《制限的用法》(…する,…した)『ところの』 / 《非制限用法》『するとその時に』,そしてそれから / 《先行詞を含んで》…『する』(…である,…した) / 『…する』(…である)『ときに』;…すると / 『…するときはいつでも』 / 『…[な]のに』,にもかかわらず / 『…であるから』 / 『もし…ならば』 / 《疑問代名詞》『いつ』 / 《非制限用法の関係代名詞》《前置詞の目的語》《おもに文》そしてそのとき / 《the~》時,日付,場合 
more	 (数・量・程度などが)(…より)『いっそう大きい』,『もっと多く』,ずっと高い《+『than…』》 / 《しばしば数詞,any,some,no,a,few,a littleなどを伴って》『それ以上の』,『もっと多くの』 / 《単数扱い》(…より)『もっと多く』[『の数』,『量』,『程度』];それ以上[の数,量,程度]《+『than…』》 / 《複数扱い》(…よりも)『もっと』(『さらに』)『多数の人』(『物』)《+『than…』》 / (…より)『さらに多く』,もっと《+『than…』》 / 《形容詞・副詞の比較級を作って》(…より)『もっと』,いっそう《+『than…』》 / 『その上さらに』, / 《『more…than ~』》~『よりはむしろ』…
what	 《疑問代名詞》 / 《情報・種別・数量などを求めて》『何』,どんなもの(こと) / 《職業・地位・国籍などを尋ねて》どんな人,何をする人 / 《相手の言葉が聞きとれないときなどにその反復を求めて》 / 《関係代名詞》 / 《名詞節を導いて》『…するもの(こと)』 / 《副詞的に働く挿入節を導いて》『…なことには』 / 《A is to B what C is to Dの形で比例関係を表す》…が…に対するごとく / 《疑問形容詞》『何の』,何という,どの,どんな / 《感嘆文で》『何という』 / 《関係形容詞》…『するものは何でも』;…だけの / いかに,どれほど / 《驚き・怒り・当惑など》『なんだって』,なに,えっ,おや 
time	 〈U〉《冠詞をつけずに》(空間に対しての)『時間』,時 / 〈U〉(時計で示される)『時刻』 / 〈U〉(ある方式で決められる)『時間』,標準時 / 〈C〉〈U〉(特定の)『時』,おり,ころ / 〈U〉《しばしば A ~》(ある長さの)『時間』,期間 / 〈U〉(要する)『時間』;暇 / 《しばしば複数形で》(歴史上の)『時代』 / 《複数形で》時勢,景気 / 《one's ~》(個人の)一生;若いころ;生涯の特定の時期 / 〈U〉《しばしば A ~》(ある経験をした)『時間』 / 〈C〉『…回』,度 / 〈C〉『…倍』 / …の時間を定める / (…に)…の調子を合わせる《+名+to+名》 / …の時間を計る 
than	 《比較級の後に用いて》…『より[も]』,に比べて / 《関係代名詞的に用いて》…『よりも』 / 《other,otherwise,else,different などの後に用いて》…より(ほかの,ほかに) / 《rather,sooner などの後に用いて》…『よりむしろ,』…するくらいなら / 《話》《hardly, scarcely の後に用いて》=when,before / 《文》《通例 than whom の形で》…より[も] / 《話》《比較級の後に用いて》…より,に比べて 
