abed	 寝床に(in bed) 
abet	 (特に悪い事に)…'を'扇動する,そそのかす《+『名』+『in』+『名』(do『ing』)》 
able	 《補語にのみ用いて》《『be able to』 do》(…することが)『できる』 / 『有能な』,腕ききの,並々ならない
ably	 りっぱに,うまく 
abut	 (…に)接する,隣接する《+『on』(『upon』,『onto』)+『名』》 / (他の建物に)よりかかる《+『against』+『名』》
ache	 (継続的に鈍く)〈人が〉『痛みを感じる』,〈身体が〉痛む,うずく / 《話》切望する,心から願う / 《しばしば複合語を作って》(継続的な鈍い)『痛み』,うずき 
acid	 酸性の / 酸味のある,すっぱい(sour) / (言葉・態度などが)厳しい,しんらつな / 酸 / すっぱいもの / 《俗》=LSD
acme	 《the ~》(…の)絶頂,極致(peak)《+『of』+『名』》 
acne	 にきび(pimple) 
acre	 『エーカー』(面積の単位;約4,047平方メートル) / 《複数形で》田畑,土地
adze	 (材木をけずる)手おの 
aery	 =ethereal 
aged	 《補語にのみ用い,数詞を伴って》…『歳の』 / (酒・チーズなどが)熟成した
ague	 マラリア熱,おこり / 寒け,悪寒
ahem	 えへん(人の注意を引いたり,警告・疑いなどを表して,わざとするせき払いの声) 
ahoy	 おおい(船乗りが遠方に呼びかける声) 
aide	 副官(aide-de-camp) / 補佐官,助手
airy	 風のよく通る(あたる) / (物が)軽やかな,ふんわりした;(動きが)軽やかな / 浮き浮きした,陽気な / 空想的な;非現実的な
akin	 (…と)同じ家族の,血族の《+『to』+『名』》 / (…と)類似の,同類の《+『to』+『名』》
alit	 alightの過去・過去分詞 
alms	 施し物,義援金 
aloe	 アロエ,ロカイ(南アフリカ原産の薬用・観賞用のユリ科の植物) / 《米》リュウゼツラン(American aloe) / 《複数形で》《単数扱い》沈香(じんこう)(香料) 
also	 …『もまた』(too),やはり / そしてその上,それから
alto	 〈U〉アルト,中高音(おもに女性の最低音;以前は男性の高音も意味した) / 〈C〉アルト歌手;アルト音域の楽器 / アルトの 
alum	 みょうばん(明礬) 
amen	 アーメン(ヘブライ語でcertainly(たしかに)の意.ギリシア語,ラテン語を通して英語にはいってきたもので,「そうなってください」(So be it!またはMay it be so!)という意味.キリスト教徒はお祈りや賛美歌のあとにとなえる) 
amid	 …の中に;…のまっさい中に 
amir	 =emir 
amok	 =amuck 
anew	 《文》新たに,再び 
anis	 アニス酒(aniseedで味をつける) 
ankh	 (エジプト美術で)輪つき十字形(生殖・長寿の象徴) 
ante	 アンティ(ポーカーで新しい札を引く前に出すかけ金) / 《俗》分け前
anti	 《話》(特定の慣習・政策・行動などに)反対する人 
anus	 肛門(こうもん) 
apex	 頂上,頂点 / 《文》最高潮,絶頂
apse	 後陣(教会堂の東端に張り出した半円形または多角形の部分) 
arch	 (建物の)『アーチ』,迫持(せりもち) / アーチ型の記念碑,弓形門 / 『弓形のもの』 / (足の)土踏まず / …'を'弓形にする / …‘に'アーチをかける / 弓形になる,弓状に伸びる 
arid	 (土地などが)乾燥した,不毛の / (本・話などが)つまらない,無味乾燥な
arms	兵器, 武器, 火器
army	 《ときにA-》『陸軍』 / 《the A-》軍隊;(一国の全)軍隊 / (共通の主義・主張のために組織された)(…の)『団体』,集団《+『of』+『名』》 / (人・動物などの)大群《+『of』+『名』》
arse	 =ass
arty	 芸術家気どりの / 芸術品まがいの
ashy	 灰の / 灰のような;青白い
atom	 『原子』 / 微量,非常な少量;《a~》微量,わずか(の…)《+『of』+『名』》
atop	 …の上に / (…の)上に,頂上に《+『of』+『名』》
aunt	 『おば』 / おばさん(年長の婦人に対する敬称)
auto	 《米話》=automobile 
aver	 …'を'断言する,主張する;(…である)‘と'断言する《+『that節』》 
avid	 どん欲な 
avow	 …'を'率直に言う,率直に認める 
awry	 曲がって,ゆがんで,ねじれて / (目的・期待から)それて,まちがって / 曲がった;それた / まちがった,誤った
axes	 ax, axeの複数形 
axis	 〈C〉軸,軸線;枢軸(すうじく) / 《the A-》枢軸国(第二次大戦当時の日本・ドイツ・イタリアなど)
axle	 (車輪の)心棒 / =axletree
back	 〈C〉(人・動物の)『背』,『背中』,背部 / 《通例the~》(正面に対して)(…の)『後ろ』,『裏』,奥,後部《+『of』+『名』》 / 《通例the back》背に似たもの;(手足の)甲;(刀の)みね;(いす・本の)背 / 〈C〉〈U〉(フットボール・ホッケーなどの)後衛 / 《名詞の前にのみ用にて》『後ろの』,後部にある,裏の / 後もどりする,逆の / 遅れている,未払いの / (中心から)遠い,へんぴな,奥地の / (音声が)後舌音の / 『後方へ』,『後ろに』(backward) / (場所・状態が)『もとへ』,帰って,返して / (時間的に)『さかのぼって』,今から…前に(ago) / 〈車など〉'を'『後退させる』 / (…で)〈人・計画など〉'を'『後援する』,支持する(support)《+『名』+『in』+『名』》 / (競馬で)…に賭ける / (…で)…‘の'伴奏をする《+『名』+『by』+『名』》 / …‘の'裏手にある,背景をなす / 〈手形など〉‘に'裏書きする(endorse) / 《しばしば受動態で》〈本〉‘に'背をつける,(…で)…'を'裏打ちする《+『名』+『with』+『名』》 / 後ずさりする,後退する(move backward)
bade	 bidの過去形 
bags	 たくさん(…の)《+『of』+『名』》 / (博性用,また一般に)だぶだぶのズボン
bail	 保釈;保釈金;〈C〉保釈保証人 / (保釈金を払って)…'を'保釈出所させる《+『名』+『out,』+『out』+『名』》
bait	 〈U〉〈C〉(つり針・わなに仕掛ける)『餌』(え),『えさ』 / 〈C〉おとり,わな,誘惑 / 〈つり針・わな〉‘に'えさをつける / …‘に'犬をけしかける / 〈人〉'を'いじめる,なぶる 
bake	 (特にオーブンで)〈食物〉'を'『焼く』,焼いて料理する / 〈れんがなど〉'を'焼き固める;〈太陽が〉…'を'焦がす / (日にあたって)〈皮膚など〉'を'焼く / 〈パンなどが〉焼ける;〈人が〉パンを焼く / 〈土地・人などが〉日に焼ける 
bald	 (頭が)『はげた』,(人が)『はげ頭の』 / (山に樹木がなくて)裸の,(木に)葉のない / (文体など)単調な,飾りのない / あからさまな,露骨な;隠し立てのない
bale	 (輸送または貯蔵用に包装した))…の)大包み,こり,俵《+『of』+『名』》 / …'を'こりにする,俵に入れる
balm	 香油・芳香 / 〈U〉〈C〉鎮痛剤;(心の)慰め
band	 『帯』,『バンド』,ひも,(おけの)たが / (色の)すじ,しま / 周波数 / …‘に'バンドを付ける
bane	 害毒;破滅のもと 
bang	 バン(ドカン,ズドン,バタン)という音 / バン(ドン)という一撃(強打) / 《話》活力,気力 / …'を'『バン(ドン)と打つ』;(…に)…'を'バン(ドン)と打ちつける《+『名』+『on』(『against』『,at』)『+『名』》;〈戸など〉'を'バタンとしめる / 『バン(ドン)と音を立てる』;(…を)ドン(バン)と打つ《+『on』(『against』,『at』+『名』》/性交する（相手は女）  / まさに,全く,ちょうど
bank	 『土手』,堤 / 川岸;《複数形で》(川の)両岸 / (土手のように)長く盛り上がったもの / 州(す),浅瀬 / (丘などの,通例けわしい)傾斜面,坂 / (飛行機が施回するときの)傾斜 / |'を'土手で囲う(守る) / …‘に'土手を築く / …'を'土手のように積み上げる《+『up』+『名,』+『名』+『up』》 / (長くもたせるために)〈火〉‘に'灰をかぶせる《+『up』+『名,』+『名』+『up』》 / 〈機体・車体〉'を'横に傾ける / 積み重なる,層を成す《+『up』》 / 〈車・飛行機が〉横に傾く 
bard	 ケルト族の吟遊詩人 / (一般に)詩人
bare	 『裸の』,『おおいのない』;露出した,むき出した / 『からの』,なにもない(empty) / 『ありのままの』,赤裸々な / 《名詞の前にのみ用いて》『かろうじての』,やっとの;ただ…だけの(mere) / …'を'裸にする,あらわにする;〈刀〉'を'燃く 
bark	 木の皮,樹皮 / 〈木〉‘の'皮をはぐ / …'を'樹皮でおおう / …‘の'皮膚をすりむく
barn	 (農家の)『納家』(なや),物置 / 《米》家畜小屋(家畜・飼料を収容する大きな建物で,映画館ほどの大きさのものもある) / 《米》電車(バス)車庫 / ばかでかくてがらんとした建物
base	 《文》(人や人の行動・孝えが)『卑しい』,下劣な / (金属が)質の劣った;(貨幣が)粗悪な
bash	 …'を'ぶんなぐる,強く打つ《+『名』+『in』(『up』),+『in』(『up』)+『名』》 / 強打
bask	 (日光で)暖まる《+『in』+『名』》 / (愛情・恩恵などに)浴する,恵まれる《+『in』+『名』》
bast	 靱皮(じんぴ)繊維(植物の木質部の繊維でなわやかごの原料) 
bate	 …'を'減らす,減ずる,弱める 
bath	 『入浴』;水浴び / (また《おもに米》『bathtub』,《話》『tub』)浴槽(よくそう),ふろ[がま] / 『浴室』(bathroom); / 《複数形で》(古代の)大浴場 / (化学作用を与えるための)浴液;電解そう / …'を'入浴させる / 入浴する 
bats	 気の狂った 
bawd	 売春宿のおかみ / 売春婦
bawl	 叫ぶ,どなる《+『away』》 / 泣きわめく / どなる,わめく / 〈品物〉'を'呼び売りする / 叫び,わめき声 
bead	 『ビーズ』,『じゅず玉』,ガラス玉;《複数形で》じゅず(rosary),ネックレス / (玉のような)露,しずく / (銃の)照星,ねらい / …'を'玉で飾る;…'を'じゅずつなぎにする / 〈水などが〉玉(しずく)となる 
beak	 『くちばし』(通例ワシ・タカなどの曲がった,またカメ・タコなどのような角状のもの) / くちばし状のもの;(人の)かぎ鼻,(水差しの)口 / (昔の戦艦の)船嘴(せんし) 
