abhor	 …'を'ひどくきらう,嫌悪する 
abide	 (ある状態に)とどまる;残る / 住む / 《まれ》…'を'じっと待つ / 《否定文・疑問文で》…'を'がまんする,‘に'耐える
abode	 〈C〉住所,住居 / 〈U〉滞在,居住 / abideの過去・過去分詞 
abort	 流産する / 〈動植物や器官などが〉十分に発育しない / 〈計画が〉失敗する,中止となる / 〈胎児〉'を'流産させる / 〈計画など〉'を'中止する 
about	 …『について』,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) / 《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と / 《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) / …『の身の回りに』,を手もとに / …の身辺に,のどこかに / …に従事して,にかかわって / (また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) / (また《米》『around』)『周囲に』 / 《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と / 《おもに英》(また,おもに《米》『around』)あたりに / 《しばしば数詞と共に用いて》『およそ』,約 / (また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に / 順番に,交互に / 《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて 
above	 《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位置》…『の上に』,の上方に,さらに高いところに(の) / …『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に / 《数・量・程度》…『以上に』,にまさって / 《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) / 『上方に(を)』;頭上に高く;上流に / 天に,空に / (特に地位において)高位に / (本・ページの)『前に』,前文に / 前述の,上述の / 前述(上述)のこと 
abuse	 〈U〉〈C〉(自分の,あるいは人の権利などの)『乱用』,悪用《+『of』+『名』》 / 〈C〉《しばしば複数形で》悪習,悪弊 / 〈U〉『悪口』,悪態,ののしり / 〈地位・権力など〉'を'『乱用する』,悪用する / …'を'『虐待する』(maltreat),酷使する / …'を'『ののしる』,‘の'悪口をいう
acerb	 (味が)すっぱい(sour),苦い,渋い / (ことば・態度が)厳しい,しんらつな
acorn	 どんぐり(カシ・ナラなどの実) 
acrid	 (舌・鼻に)刺激のある,ひりひりする / (言葉・態度・気質が)しんらつな,とげとげしい
actin	 純蛋白質(筋肉生成に役立つ) 
actor	 (男の)『俳優』,『男優』 / 行為者
acute	 (先の)『鋭い』,とがった / (痛み・感情などが)『激しい』,強い / (知力・感覚などが)『鋭い』,鋭敏な / (事態が)重大な / (病気が)急性の / (音が)高い,鋭い / 鋭角の 
adept	 熟達した,精通した;(…に)巧みな《+in(at)+名(doing)》 / 〈C〉(…に)熟達した人,(…の)名人《+『at』(『in』)+『名』(do『ing』)》
adieu	 さようなら,ごきげんよう(good-by) / 別れ,告別(farewell)
adios	 さようなら 
adlib	 〈楽譜にないもの〉'を'即興的に歌う(演奏する),〈台本にないせりふ〉'を'即興的にしゃべる / 即興的に歌う(演奏する,しゃべる) / 《名詞の前にのみ用いて》即興の,アドリブの / アドリブで,即興で / アドリブ,即興的な演奏(演技,せりふ) 
admit	 (場所・会・学校などへ)…'を'『入れる』,‘に'入ることを許す《+『名』+『to』(『into』)+『名』》 / 〈事実・要求・誤りなど〉'を'『認める』,受け入れる / 〈場所・建物などが〉〈人・物〉'を'収容できる 
admix	 (…と)…'を'混合する《+『名』+『with』+『名』》 / 混合する,まざる(mix)
adobe	 〈U〉《集合的に》(泥を固め天日で干して作る)アドービれんが　日干し煉瓦 / 〈C〉アドービれんが造りの家屋(米南西部・メキシコ・南米に多い) / アドービれんが造りの 
adopt	 〈考え・習慣など〉'を'『取り入れる』,採用する / (法律によって)(…として)…'を'養子にする,家族(部族)の一員にする《+『名』+『as』+『名』》 / (投票など正式な手順で)…'を'採択する,承諾する 
adore	 〈人〉'を'『深く愛する』,敬愛する / 〈神〉'を'あがめる,崇拝する(worship) / 《話》…‘が'大好きである 
adorn	 (装飾品などで)…'を'『飾る』《+『名』+『with』+『名』》 
adult	 『おとなの』,成人した,成熟した / 成人向きの / 『おとな』,成人 
aegis	 保護,援助 
afire	 (…で)燃えた(on fire)《+『with』+『名』》 / 燃えて
afore	 =before 
afoul	 衝突して;もつれて 
after	 《時・順序》…『の後に』,…後に;…の次に / …『を求めて』,の後を追って / …『の名をとって』,にならって;…ふうに(の) / …のことを心配して,に関して / …『だから』,…の結果 / 《前後に同じ名詞を用いて連続・反復など》 / 《時》…『した後で(に)』,してから / 《順序・時》『後に』,後ろから,後で / 後の,次の 
agent	 『代理人』;周旋人 / 働き(作用)を起こすもの;作用物,薬剤 / (政府機関,特にFBI,CIAなどの)部員,機関員 
agile	 (動作が)機敏な,すばやい / (頭脳の働きが)明敏な,回転の速い
aglow	 (空などが)(…で)赤々と輝いて《+『with』+『名』》 / (興奮などで)赤らんで;(誇りなどに)燃えて《+『with』+『名』》
agony	 (長く激しい精神的・肉体的な)『苦悶』(くもん),苦痛 / (特別な感情の)激発;突発
aisle	 (教会・劇場・列車・旅客機などの)座席間の通路 / 側廊(教会堂で本堂(nave)の両側にある通路)
aitch	 H,hの字(音) 
album	 (写真・切手・切り抜きなどを貼る)『アルバム』 / (いくつかの曲・劇などを収録した)組レコード,アルバム / 画帳 
alder	 ハンノキ(建築用落葉高木) 
alert	 『油断のない』,用心深い / (頭の回転・動作などが)機敏な / (動作が)敏しょうな / 〈U〉《しばしばthe ~》警戒,用心 / 〈C〉警報;警報発令期間 / (…に対して)…‘に'警報(警告)を出す,警戒態勢をとらせる《+『名』+『to』+『名』》
alien	 『外国の』,異国の;外国人の,在留外国人の / 《補語にのみ用いて》(…と)性質の異なる《+『from』(『to』)+『名』》 / 《補語にのみ用いて》(…と)相いれない,(…に)反する《+『to』+『名』》 / 異常な / (ある国に在住する)外国人,在留外国人;(citizenと区別して帰化してない)外国人 
alike	 『同じように』,等しく(similarly) / (複数の人・物が)似ている(similar)
aline	 =align 
alive	 『生きている』(living) / 《しばしば最上級の形容詞と共に》現存している / 活動している,有効である(active) / 生き生きした,活発な
aloft	 空中高く,上に / マストの頂上に
alone	 『ひとりで』,一つで,単独で;ただ…だけで / 《名詞・代名詞のすぐ後に用いて》ただ…だけ(only)
along	 『…をたどって』,…に沿って / …の間に(during),…の途上で / 『沿って』,並んで / 《動作や状態の継続を強めて》前へ,進んで / (人を)連れて;(物を)持って 
aloud	 声を出して / 大声で(loudly)
alter	 (形・性質などの点で)…'を'変える,改める / 変わる,改まる
amber	 こはく(琥珀)(宝石に用いる黄褐色の鉱石) / こはく色 / こはく製の / こはく色の
ambit	 周囲 / 勢力範囲
amble	 アンブル,側対歩(馬が片側の両脚を同時に上げて進むゆるやかな歩調) / のんびりした歩き方,ゆっくりした足どり;ぶらつき,散歩 / 〈馬が〉アンブルで歩む / 〈人が〉ゆっくり(ぶらぶら)歩く《+『about』(『around』)》
amend	 …'を'『改める』,改良する / (正式に)〈議案など〉'を'修正する,改正する / 品行を改める,行いを良くする 
amide	 アミド[基化物] 
amigo	 友人 
amity	 (人・国などの間の)親善,友好,親和 
among	 …『の間に』,に囲まれて / 《おもに最上級と共に》…『の中の一つ』(『一人』)『で』,のうちに数えられて / 《分配を表す動詞と共に》…『の間で』,めいめいに / …がいっしょになって,が協力して
amour	 (特に人目をはばかる)恋愛,情事 
ample	 広い,広々とした / 《数えられない名詞・複数名詞の前に用いて》『十分な』(enough),あり余るほどたくさんの(abundant) / ふくよかな,豊満な(full) 
amply	 広々と,広く / 豊富に,十分に(fully)
